method,round,accuracy,macro_f1,fairness,comm_cost
random,8,0.6043276661514683,0.2963477879753747,0.9999999999992027,1.4200000000000008
random,9,0.6112828438948995,0.32167356727916435,0.9999999999993701,1.600000000000001
random,10,0.6491499227202473,0.3166789037644422,0.9999999999994897,1.7600000000000011
random,11,0.6738794435857806,0.3169297384609401,0.9999999999995783,1.9400000000000013
random,12,0.7217928902627512,0.3585030777252388,0.9999999999996456,2.1200000000000014
random,13,0.6777434312210201,0.34072086790769307,0.9999999999996982,2.2800000000000016
random,14,0.6970633693972179,0.3688097586724958,0.999658236500079,2.4400000000000017
random,15,0.7418856259659969,0.3796834086945341,0.9987995198076927,2.600000000000002
random,16,0.7001545595054096,0.3690178232277997,0.9976101964947511,2.760000000000002
random,17,0.759659969088099,0.386074114616092,0.9960918865360912,2.900000000000002
random,18,0.7457496136012365,0.3597450872813069,0.9940876420123557,3.0400000000000023
random,19,0.7465224111282844,0.39683305543088804,0.9917565092043318,3.1800000000000024
random,20,0.7341576506955177,0.3510681532669053,0.9892139439506509,3.3200000000000025
random,21,0.6885625965996909,0.3590940442110111,0.9865438916513424,3.4400000000000026
random,22,0.7511591962905718,0.3535474407394646,0.9838073846575848,3.5800000000000027
random,23,0.7225656877897991,0.3785855655066953,0.981048701777965,3.720000000000003
random,24,0.6615146831530139,0.3644782324772387,0.9801701098299896,3.860000000000003
random,25,0.7156105100463679,0.3502159077098353,0.9790426744332406,4.000000000000003
random,26,0.6901081916537867,0.3806497880957681,0.9780344164353817,4.12
random,27,0.6854714064914992,0.39667429162740675,0.9765485945191078,4.2399999999999975
random,28,0.7241112828438949,0.38344286986755893,0.9746729183996842,4.359999999999995
random,29,0.7163833075734157,0.39302965622875385,0.9724813232961723,4.479999999999992
random,30,0.6051004636785162,0.3730554051648858,0.9690467147739562,4.57999999999999
battery_only,1,0.10741885625965997,0.11262447918340873,0.6428571428061225,0.18
battery_only,2,0.11746522411128284,0.12406043498339547,0.6428571428443878,0.34
battery_only,3,0.3701700154559505,0.23941734598163253,0.642857142851474,0.5200000000000001
