scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
real_N250_K10,random,static,20,14.0,0.000209808349609375,0.08169311228421236,0.8666666666666667,0.0483752224355582,0.11298913329380124,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,static,20,27.0,0.0023250579833984375,0.20723019072868065,0.7428571428571429,0.11152897200710563,0.2982991612175513,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,centroid,20,32.0,0.00485992431640625,-0.026642050137481443,-0.6952380952380952,-0.04033808671291693,-0.013636849956381666,False,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,random,static,20,35.0,0.0072956085205078125,0.028964098082933543,0.6666666666666666,0.010680619771554826,0.04647049156217225,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,ga,20,37.0,0.009435653686523438,-0.031375009918660685,-0.6476190476190476,-0.04935865584943027,-0.011552404529043778,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,ga,20,41.0,0.01531219482421875,0.04577503659159645,0.6095238095238096,0.01636492640790202,0.07724590559495961,False,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,ga,20,42.0,0.017181396484375,-0.021038742420161134,-0.6,-0.034970137925675174,-0.0069231872682943745,False,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,pso,20,51.0,0.04405403137207031,-0.01470220748001556,-0.5142857142857142,-0.02613457620649169,-0.004014393880621242,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,static,20,56.0,0.069580078125,0.08236113470409212,0.4666666666666667,-0.013539496443434227,0.17387109317178595,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,static,20,72.0,0.2305126190185547,0.01372156569674236,0.3142857142857143,-0.03350645188136752,0.055167901518838484,False,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,ga,20,77.0,0.3117942810058594,0.005359417974400735,0.26666666666666666,-0.005723349722542822,0.016112666663412465,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,ga,20,83.0,0.4304332733154297,-0.0047329597811792325,-0.20952380952380953,-0.023929575437004344,0.016066368718050138,False,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,pso,20,87.0,0.5216732025146484,-0.002991638305276015,-0.17142857142857143,-0.010674173535506015,0.004277847061710294,False,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,pso,20,95.0,0.7285060882568359,0.00236777966912472,0.09523809523809523,-0.007911434163311418,0.012747344886092608,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,random,static,20,99.0,0.8408222198486328,-0.017827702091020012,-0.05714285714285714,-0.11327887521495535,0.07141500935292033,False,table,,final_fitness,wilcoxon,holm
